group_souffle,negation_control,negation,negation trouvé
et alors là y avait pas d' éléments pour pouvoir travailler,V,V,['avait pas']
elle est donc venue,F,F,o
puisque j' étais fils unique,F,F,o
elle est donc venue à Orléans pour pouvoir trouver du travail et c' est ce que,F,F,o
parce que mon père est mort en,F,F,o
février quinze,F,F,o
et elle est venue je crois au mois d' août quinze vous voyez par conséquent je suis de douze j' avais trois ans,F,F,o
oui,F,F,o
alors pour moi euh,F,F,o
Orléans c' est ma ville natale,F,F,o
oui oui oui oui,F,F,o
faut dire que j' ai pas connu d' autres euh,V,F,o
d' autres lieux si vous voulez qu' Orléans pour moi j' ai j' y suis né pour moi,F,F,o
oui,F,F,o
oui,F,F,o
à trois ans,F,F,o
oui,F,F,o
oui,F,F,o
et vous vous plaisez à Orléans ?,F,F,o
ah j' aime ma ville oui bien sûr,F,F,o
oui,F,F,o
oui,F,F,o
je l' aime particulièrement même je l' aime et,F,F,o
oui pourquoi ?,F,F,o
eh parce que j' ai eu l' occasion de bourlinguer un petit peu du fait euh,F,F,o
que étant commis boucher vous savez,F,F,o
euh à l' époque on faisait un petit peu le,F,F,o
le tour de France avant la guerre je vous parle de ça,F,F,o
oui,F,F,o
bah alors j' ai donc euh été dans différentes villes de France,F,F,o
oui,F,F,o
et bah je me suis toujours ennuyé de mon clocher ça c' est peut-être euh,F,F,o
euh spécial peut-être,F,F,o
mais enfin j' avais toujours plaisir à retrouver ma ville,F,F,o
oui,F,F,o
oui oui,F,F,o
en plus de ça je,F,F,o
ma mère habitait longtemps,F,F,o
les rives de Loire,F,F,o
j' ai beaucoup d' - j' aime énormément la Loire,F,F,o
je suis attiré,F,F,o
oui,F,F,o
par la Loire,F,F,o
comprenez ?,F,F,o
oui oui,F,F,o
euh j' ai lu des des des livres de de de Maurice Genevoix,F,F,o
oui,F,F,o
bah,F,F,o
pour moi Maurice Genevoix,F,F,o
euh j' ai l' impression qu' il a vécu lui aussi au bord de Loire pour pour décrire tout ce qu' il a pu décrire hein,F,F,o
oui,F,F,o
oui,F,F,o
j' aime la Loire,F,F,o
autant qu' il peut l' aimer si vous voulez,F,F,o
ça m' attire,F,F,o
oui oui,F,F,o
oui oui,F,F,o
si j' ai une promenade à faire à pied,F,F,o
ça sera au bord de Loire,F,F,o
oui oui oui,F,F,o
oui,F,F,o
comprenez ?,F,F,o
encore oui maintenant oui,F,F,o
encore maintenant oui,F,F,o
est -ce que vous pouvez me dire euh en quoi ça consistait le tour de France ?,F,F,o
eh bien,F,F,o
euh,F,F,o
à l' époque,F,F,o
vous comprenez on cherchait à s' améliorer,F,F,o
oui,F,F,o
euh,F,F,o
ici euh alors je parle de mon métier -là que évidemment c' est c' est mon rôle n' est -ce pas,F,V,"[""n'est-ce pas""]"
euh,F,F,o
nous sommes considérés ici comme déjà,F,F,o
au point de vu travail de la boucherie,F,F,o
comme l' un des meilleurs euh ouvriers de France si vous voulez,F,F,o
oui,F,F,o
pour travailler la viande n' est -ce pas,F,V,"[""n'est-ce pas""]"
mais néanmoins euh de monter,F,F,o
travailler à Paris,F,F,o
n' est -ce pas ou aller dans certaines autres provinces,V,V,"[""n'est-ce pas""]"
ça permettait d' acquérir des connaissances,F,F,o
euh même des façons de travailler qu' on n' avait pas dans notre région,V,V,['avait pas']
oui oui,F,F,o
alors c' est ce que j' ai fait,F,F,o
pour me rendre compte,F,F,o
et puis j' ai travaillé assez longtemps à Paris,F,F,o
pour finir de me perfectionner alors là pour acquérir si vous voulez la la science euh,F,F,o
de la décoration de la présentation des viandes,F,F,o
oui,F,F,o
comprenez -vous ?,F,F,o
oui,F,F,o
et,F,F,o
j' étais trois ans à peu près absent de chez moi,F,F,o
puis je suis revenu travailler à Orléans euh,F,F,o
parce que Orléans m' attirait et il fallait que je revienne à Orléans,F,F,o
oui,F,F,o
je m' ennuyais de mon clocher quoi,F,F,o
et vous comptez rester à Orléans ?,F,F,o
oh je,F,F,o
oui,F,F,o
oui ça c' est certain,F,F,o
oui,F,F,o
c' est certain,F,F,o
je crois que vous avez déjà expliqué pourquoi,F,F,o
oui,F,F,o
et alors qu' est -ce que vous faites exactement comme travail en ce moment ?,F,F,o
je suis boucher,F,F,o
oui,F,F,o
oui,F,F,o
oui,F,F,o
et euh,F,F,o
en quoi est -ce que ça consiste exactement ?,F,F,o
eh bien je vais vous dire euh,F,F,o
comment vous voyez ça ?,F,F,o
pour moi c' est un,F,F,o
mon cas est peut-être un petit peu spécial pas parce que je vais vous expliquer,F,F,o
euh,F,F,o
j' ai une boucherie,F,F,o
bien sûr,F,F,o
euh qui m' appartient en propre,F,F,o
mais en plus de ça depuis une dizaine d' années,F,F,o
euh,F,F,o
on ne peut pas dire le hasard mais enfin les relations,V,V,['ne peut pas']
ont fait que,F,F,o
j' ai un de mes amis qui a ouvert deux supermarchés à Orléans,F,F,o
et alors il m' a donné la gestion,F,F,o
si vous voulez,F,F,o
oui,F,F,o
oui,F,F,o
de ses deux rayons de boucherie de supermarché,F,F,o
et c' est ce qui m' a permis de faire un gros tonnage quoi,F,F,o
et alors si vous voulez je suis un petit peu au-dessus des normes,F,F,o
officielles de de la boucherie,F,F,o
oui,F,F,o
oui,F,F,o
comprenez ?,F,F,o
euh euh supposez que par exemple un boucher moyen j' estime qu' un boucher moyen fait quatre à cinq cent kilos de viande,F,F,o
euh moi je traite deux tonnes deux tonnes deux cent,F,F,o
oui,F,F,o
oui,F,F,o
voyez,F,F,o
c' est c' est vraiment au-dessus de la moyenne,F,F,o
pour,F,F,o
oui,F,F,o
cette raison parce que je gère deux supermarchés,F,F,o
oui,F,F,o
oui,F,F,o
comprenez ?,F,F,o
j' ai été vingt ans,F,F,o
euh oui plus de vingt ans,F,F,o
où où je gérais que ma boucherie propre et je vous dis y a huit ou dix ans où je gère ces supermarchés -là,F,F,o
alors euh,F,F,o
mais c' est un peu spécial si vous voulez mon cas,F,F,o
oui oui,F,F,o
mais enfin,F,F,o
si vous voulez que je vous explique la boucherie moi je sais pas,V,V,['sais pas']
euh,F,F,o
vous pourriez peut-être euh,F,F,o
me décrire une,F,F,o
dites -moi,F,F,o
journée de travail,F,F,o
oui,F,F,o
si vous voulez,F,F,o
n' est -ce pas ?,F,V,"[""n'est-ce pas""]"
normale,F,F,o
eh bien,F,F,o
je vais vous expliquer ce que je ressens et ce que je pense que tous mes collègues ressentent,F,F,o
n' est -ce pas,F,V,"[""n'est-ce pas""]"
euh c' est,F,F,o
d' arriver le matin,F,F,o
dans la boucherie,F,F,o
n' est -ce pas,F,V,"[""n'est-ce pas""]"
et de de parer,F,F,o
et de présenter la viande,F,F,o
en France ça a une très grosse importance,F,F,o
oui,F,F,o
comprenez -vous ?,F,F,o
c' est--à-dire que nous faisons des,F,F,o
des plats de présentation des pièces c' est ce que l' on appelle,F,F,o
vous avez vous savez des plats d' entrecôtes des plats de côtes d' agneau,F,F,o
vous avez,F,F,o
oui,F,F,o
voyez ce que je veux dire ?,F,F,o
oui oui,F,F,o
et ça si vous voulez,F,F,o
euh pour le boucher,F,F,o
aimant son métier quand même nous sommes une grosse majorité,F,F,o
euh c' est la grosse euh,F,F,o
euh la grosse attraction si vous voulez,F,F,o
avant la question commerciale,F,F,o
oui,F,F,o
la présentation de l' étal,F,F,o
oui,F,F,o
oui,F,F,o
comprenez ?,F,F,o
oui très bien,F,F,o
on a une satisfaction,F,F,o
euh quand arrivent sept heures du matin parce qu' on se lève très tôt dans mon métier quoi,F,F,o
quand arrivent sept heures du matin,F,F,o
que tout est net tout est bien présenté,F,F,o
on a une satisfaction,F,F,o
intérieure,F,F,o
euh je sais pas euh de de travail bien fait,V,V,['sais pas']
oui,F,F,o
oui,F,F,o
comprenez ?,F,F,o
oui,F,F,o
que j' ai communiquée si vous voulez,F,F,o
même dans mes supermarchés,F,F,o
oui,F,F,o
dans mes rayons,F,F,o
oui,F,F,o
ce qui fait que,F,F,o
euh sans me donner de gants,F,F,o
dans les dans mon rayon on tourne à un pourcentage beaucoup plus élevé,F,F,o
que dans les normes officielles de la euh des rayons boucheries,F,F,o
en supermarché,F,F,o
parce que j' ai donné cet esprit si vous voulez,F,F,o
à mes gars,F,F,o
à mes commis,F,F,o
oui oui oui oui,F,F,o
oui,F,F,o
et j' ai l' impression que la clientèle le ressent ça,F,F,o
oui,F,F,o
oui,F,F,o
oui,F,F,o
comprenez -vous ?,F,F,o
bon alors,F,F,o
après ben évidemment il s' agit de la vente,F,F,o
n' est -ce pas ?,F,F,o
et puis à la clientèle le contact avec la clientèle qui compte énormément aussi pour nous hein,F,F,o
oui,F,F,o
voyez ?,F,F,o
euh la vente sous cellophane malheureusement va s' étendre puisque c' est dans les traditions maintenant,F,F,o
mais enfin euh,F,F,o
moi je sais évidemment j' ai cinquante-sept ans,F,F,o
j' en j' en peinerai énormément d' ailleurs quand j' ai pris ces rayons -là,F,F,o
le le le le patron si vous voulez,F,F,o
hein ?,F,F,o
oui,F,F,o
m' avait dit bah écoute tu pourrais peut-être faire à ce moment -là du pré-emballé,F,F,o
hein ?,F,F,o
j' ai dit écoute laisse -moi travailler dans les conditions,F,F,o
euh normales traditionnelles,F,F,o
oui,F,F,o
s' il s' avère euh,F,F,o
que ce n' est pas rentable à ce moment -là je ferai du pré-emballé,V,V,"[""n ' est"", 'est pas']"
oui,F,F,o
mais pour moi le contact avec la clientèle,F,F,o
compte autant que le reste vous,F,F,o
comprenez ?,F,F,o
oui,F,F,o
oui oui oui oui,F,F,o
le travail le travail par lui -même,F,F,o
oui,F,F,o
oui,F,F,o
qu' est -ce que je pourrais vous expliquer d' autre ?,F,F,o
y a aussi l' attrait,F,F,o
de l' achat,F,F,o
qui se malheureusement aussi s' amenuise de plus en plus,V,F,o
c' est--à-dire que j' achète mes animaux vivants,F,F,o
hum hum,F,F,o
comprenez ?,F,F,o
tous les mercredis matins nous avons un marché aux bestiaux,F,F,o
ici à Orléans,F,F,o
et alors j' achète mes animaux vivants,F,F,o
oui oui,F,F,o
donc il faut que j' estime,F,F,o
la qualité,F,F,o
oui,F,F,o
n' est -ce pas ?,F,V,"[""n'est-ce pas""]"
euh l' âge évidemment,F,F,o
n' est -ce pas ?,F,V,"[""n'est-ce pas""]"
le poids,F,F,o
et alors après,F,F,o
euh l' abattage se fait quoi,F,F,o
alors c' est encore un abattage artisanal qui va se,F,F,o
lui aussi,F,F,o
évidemment s' éliminer tout doucement puisque on il est question de faire des chaînes d' abattage à Orléans,F,F,o
quoi,F,F,o
oui,F,F,o
oui oui,F,F,o
alors les commis abattent,F,F,o
et alors après il y a aussi là,F,F,o
un satisfecit de se dire bien,F,F,o
euh c' est tombé,F,F,o
comme j' estimais,F,F,o
oui,F,F,o
que ça devait tomber,F,F,o
ou tiens c' est tombé à côté,F,F,o
oui,F,F,o
comprenez ?,F,F,o
oui,F,F,o
j' estime par exemple qu' un veau,F,F,o
euh par tel et tel euh,F,F,o
hum comment dirais -je euh,F,F,o
on appelle ça les approches,F,F,o
oui,F,F,o
n' est -ce pas ça s' appelle les approches,F,V,"[""n'est-ce pas""]"
par euh par les approches,F,F,o
euh par des signes,F,F,o
ce veau -là devait tomber blanc,F,F,o
il tombe rouge,F,F,o
pourquoi ?,F,F,o
il y a trente ans que j' achète,F,F,o
j' en sais qu- j' en connais pas la raison,V,V,['connais pas']
voyez ça aussi c' est un attrait,F,F,o
vous voyez ?,F,F,o
oui,F,F,o
une déception,F,F,o
mais enfin,F,F,o
quand ça tombe bien et à quatre-vingt pour cent ça tombe,F,F,o
en fonction des connaissances qu' on a acquises quand même,F,F,o
comprenez -vous ?,F,F,o
oui,F,F,o
oui oui oui,F,F,o
ça aussi c' est un attrait du métier,F,F,o
oui oui oui,F,F,o
oui qu' est -ce que je pourrais vous citer d' autre ?,F,F,o
euh ce que je voudrais défendre aussi c' est,F,F,o
euh l' abattage,F,F,o
n' est -ce pas ?,F,F,o
euh on a l' impression qu' un boucher,F,F,o
euh c' est le sacrificateur c' est le,F,F,o
comment dirais -je,F,F,o
hein et,F,F,o
euh c-,F,F,o
il a,F,F,o
un penchant,F,F,o
pour tuer il est,F,F,o
comprenez ?,F,F,o
euh comment je vais expliquer ça,F,F,o
je voudrais pourtant bien expliquer ça,F,F,o
euh,F,F,o
euh le le boucher en somme c' est c' est la brute épaisse,F,F,o
hum oui,F,F,o
oui,F,F,o
c' est un peu ça,F,F,o
hein ?,F,F,o
alors qu' il faut qu' il faut bien savoir hein qu' il et croyez -moi c' est vrai ça hein,F,F,o
que le geste de supprimer une vie évidemment,F,F,o
pour nous,F,F,o
euh,F,F,o
ne compte,V,F,o
pas plus si vous voulez,F,F,o
euh que la dépouille,F,F,o
oui,F,F,o
oui,F,F,o
comprenez on prend pas plaisir à abattre on on on,V,V,['prend pas']
on fait le maximum pour que l' animal ne souffre pas,V,V,['ne souffre pas']
oui,F,F,o
oui,F,F,o
et le geste de supprimer,F,F,o
la vie,F,F,o
c' est un geste,F,F,o
de de couper par exemple une moelle épinière ou d' égorger un animal,F,F,o
n' est -ce pas ?,F,F,o
c' est un geste,F,F,o
comme de de couper,F,F,o
le membre ou de dépouiller ou d' éviscérer,F,F,o
oui oui oui oui oui,F,F,o
c' est c' est c' est pas le le le,F,F,o
la jouissance euh de tuer,F,F,o
comprenez -vous ?,F,F,o
oui d' accord,F,F,o
c' est ça que je voudrais que que vous fassiez comprendre,F,F,o
auprès de de certaines gens qui prennent le boucher pour un pour un tueur,F,F,o
quoi si vous voulez,F,F,o
oui oui oui,F,F,o
oui oui,F,F,o
comprenez ?,F,F,o
oui je comprends très bien,F,F,o
oui,F,F,o
voilà,F,F,o
vous avez assez expliqué c-,F,F,o
enfin ce que vous avez,F,F,o
débouché sur la la,F,F,o
oui je crois oui,F,F,o
prochaine question,F,F,o
qu' est -ce qui vous compte le plus dans le métier je crois que vous l' avez bien bien,F,F,o
vraiment,F,F,o
hum,F,F,o
expliqué,F,F,o
oui,F,F,o
ce qui vous plaît euh est -ce qu' il y a des choses qui vous déplaisent,F,F,o
dans le métier,F,F,o
par rapport disons à,F,F,o
d' autres métiers ?,F,F,o
oui écoutez,F,F,o
que je réfléchisse,F,F,o
non,F,F,o
non,F,F,o
j' aime tout dans mon métier,F,F,o
oui,F,F,o
oui,F,F,o
et si par hasard euh vous n' aviez pas fait ce métier -là est -ce qu' il y en a un autre,V,F,o
que vous auriez aimé faire ?,F,F,o
oui euh,F,F,o
au départ j' aurais,F,F,o
j' aurais aimé être menuisier voyez -vous,F,F,o
oui,F,F,o
j' aurais aimé et encore à l' heure actuelle lorsque je vois travailler le bois,F,F,o
euh j' admire euh je parle de l' ébéniste je parle pas de,V,V,['parle pas']
euh du charpentier,F,F,o
oui,F,F,o
hein j' aurais aimé faire des meubles j' aurais aimé,F,F,o
j' aurais aimé ce métier,F,F,o
oui,F,F,o
j' ai pas pu le faire parce que malheureusement étant l' aîné de cinq euh,V,V,['ai pas']
à l' époque euh on m' a pas demandé mon avis vous savez c' était pas comme maintenant hein,V,F,o
oui oui oui oui oui,F,F,o
euh étant l' aîné de cinq dans la boucherie où on était nourri on a dit bon bah écoute euh,F,F,o
euh voilà tu vas t' en aller,F,F,o
à tel endroit parce qu' il y a une place de boucher et ça fera une bouche de moins à nourrir à la maison,F,F,o
oui,F,F,o
j' ai fait le métier de boucher,F,F,o
euh,F,F,o
peut-être pas à contrecoeur mais enfin,V,F,o
j' en avais pas tellement,V,F,o
et puis après j' ai appris à l' aimer à aimer mon métier,F,F,o
oui,F,F,o
oui,F,F,o
j' en ai j' en ai fait,F,F,o
euh ce ce que je pense être c' est--à-dire euh,F,F,o
euh non seulement,V,F,o
bonjour monsieur,F,F,o
euh est -ce que vous comprenez j' en ai,F,F,o
j' en ai fait ce que ce que je pense être c' est-à-dire,F,F,o
euh un métier même temps artistique mais ça vous paraît peut-être un paradoxe,F,F,o
oui,F,F,o
mais j' aime mon métier je,F,F,o
par son côté artistique j' aime,F,F,o
parer une pièce de viande j' aime,F,F,o
comprenez euh toutes ces choses -là euh,F,F,o
c' est peut-être parce que c' est mon tempérament,F,F,o
oui,F,F,o
comprenez ?,F,F,o
oui oui,F,F,o
euh voilà ce que je peux vous expliquer moi sur euh,F,F,o
sur ce que je ressens du métier,F,F,o
très bien oui,F,F,o
oui,F,F,o
eh bien euh,F,F,o
y a de plus en plus de femmes mariées qui travaillent,F,F,o
aujourd'hui euh,F,F,o
oui,F,F,o
personnellement euh êtes -vous pour ou contre ?,F,F,o
euh non je vous dirais que je suis plutôt contre,F,F,o
oui,F,F,o
je suis peut-être à contre-courant,F,F,o
oui mais,F,F,o
euh sans doute mais enfin je suis plutôt contre parce que,F,F,o
euh j' ai eu l' expérience à la maison parce que,F,F,o
euh ma femme était avec moi dans,F,F,o
notre commerce n' est -ce pas,F,V,"[""n'est-ce pas""]"
euh on a donné nos enfants à garder,F,F,o
mais dès que je pouvais laisser ma femme à la maison,F,F,o
je le faisais parce que j' estime que quand même le rôle de la mère c' est encore d' élever ses enfants,F,F,o
oui,F,F,o
oh moi je vous donne mon avis,F,F,o
oui oui,F,F,o
bah oui,F,F,o
hum,F,F,o
euh non c' était une question qui était dans le,F,F,o
questionnaire les,F,F,o
oui oui oui oui allez -y,F,F,o
avis n' est -ce pas sur,V,V,"[""n'est-ce pas""]"
euh,F,F,o
qu' est -ce que vous faites de votre temps libre monsieur NPERS ?,F,F,o
eh bien j' aime la lecture,F,F,o
oui,F,F,o
j' aime la musique,F,F,o
ça vous paraît drôle peut-être hein pour un boucher mais enfin euh malheureusement j' ai pas assez de culture,V,V,['ai pas']
comprenez ?,F,F,o
pour aimer la peinture mais,F,F,o
j' aurais aimé,F,F,o
oui,F,F,o
oui,F,F,o
j' aurais aimé,F,F,o
connaître tous les arts,F,F,o
oui,F,F,o
j' aurais aimé,F,F,o
oui,F,F,o
malheureusement je vous le dis hein ça fait treize ans que je suis parti de chez moi,F,F,o
et euh voilà,F,F,o
euh,F,F,o
si un jour,F,F,o
je suis à la retraite,F,F,o
j' aimerais visiter les musées par exemple monter à Paris d' ici maintenant c' est la banlieue,F,F,o
oui,F,F,o
hein j' aimerais monter à Paris visiter les musées enfin,F,F,o
essayer de de découvrir,F,F,o
euh ce qu' une personne cultivée apprécie que moi malheureusement je connais pas,V,V,['connais pas']
oui,F,F,o
comprenez ?,F,F,o
oui,F,F,o
voilà,F,F,o
et de vos soirées ?,F,F,o
qu' est -ce que vous,F,F,o
faites le le soir ?,F,F,o
bah la télévision,F,F,o
oui,F,F,o
télévision,F,F,o
ou la lecture,F,F,o
oui,F,F,o
et le samedi et le,F,F,o
la télévision,F,F,o
dimanche ?,F,F,o
euh bah le samedi oh pas question parce qu' on se lève à quatre heures du,F,F,o
matin le samedi,F,F,o
bien sûr,F,F,o
soir vous savez,F,F,o
on est fatigué,F,F,o
le dimanche bah on fait un peu de promenade évidemment en voiture comme tout le monde,F,F,o
oui,F,F,o
on part,F,F,o
oui oui,F,F,o
mais on s' éloigne pas tellement,V,V,['éloigne pas']
oui,F,F,o
c' est à peu près tout oui je vois pas d' autres choses à vous dire,V,V,['vois pas']
qu' est -ce que vous avez fait par exemple euh dimanche dernier ?,F,F,o
eh bah nous sommes allés jusqu' à Fontainebleau voyez -vous,F,F,o
oui,F,F,o
n' est -ce pas euh on est allé jusqu' à Fontainebleau,F,V,"[""n'est-ce pas""]"
et puis euh on a fait un tour,F,F,o
dans le parc,F,F,o
et puis on mon dieu on est revenu quoi parce qu' il faisait mauvais d' abord,F,F,o
oui,F,F,o
n' est -ce pas mais ça a fait un bout euh nous sommes partis à deux heures et demie trois heures,V,V,"[""n'est-ce pas""]"
euh à six heures et demie sept heures on est sept heures et demie on était de retour,F,F,o
oui oui oui,F,F,o
voilà à peu près l' emploi de nos dimanches quoi,F,F,o
oui,F,F,o
je ferais un détour pour aller à Chambord je ferais un détour vous voyez ça c' est c' est c' est c' est sans doute dans mon tempérament vous comprenez ça c' est c' est,F,F,o
c' est personnel ça,F,F,o
hum,F,F,o
oui,F,F,o
c' est faut pas que vous vous savez c' est comme l' Anglais qui descend à Calais,V,V,['faut pas']
et qui voit une femme rousse hein,F,F,o
faut pas croire parce que je dis ça que tous les bouchers sont,V,V,['faut pas']
sont dans mon genre vous,F,F,o
comprenez toutes les,F,F,o
Françaises sont pas rousses hein,V,V,['sont pas']
non mais moi je vous dis ce que je ressens personnellement,F,F,o
oui oui oui c' est ce qu' on vous demande d' ailleurs,F,F,o
oui,F,F,o
et,F,F,o
pendant vos prochaines vacances d' été qu' est -ce que vous comptez faire ?,F,F,o
ah malheureusement c' est que je ne peux pas prendre depuis huit ans depuis que j' ai mes pilotes là je ne,V,V,['ne peux pas']
peux pas,V,V,['peux pas']
oui,F,F,o
prendre de vacances,F,F,o
oui oui oui,F,F,o
oui,F,F,o
parce que on a un métier qui se perd,F,F,o
on trouve plus de personnel,V,V,['trouve plus']
oui,F,F,o
alors je donne du congé à mes gars moi je ferme,F,F,o
ma boucherie,F,F,o
pendant trois semaines,F,F,o
et je remplace mes gars pendant les trois semaines,F,F,o
ah oui,F,F,o
alors pour moi ça c' est un,F,F,o
euh vraiment ça me ça ça me chagrine ça parce que ça fait huit ans que j' ai pas pris de,F,F,o
vacances,F,F,o
oui,F,F,o
oui,F,F,o
et vous savez c' est quand même long hein,F,F,o
et puis je vois pas je peux pas,V,V,"['vois pas', 'peux pas']"
je peux pas,V,V,['peux pas']
récemment voyez -vous euh on manque de main-d'oeuvre chez nous hein c' est,F,F,o
fou hein,F,F,o
hum,F,F,o
oui oui,F,F,o
j' ai été un mois sans commis là je il me manquait un commis j' ai été un mois dans avant d' en trouver un,F,F,o
et j' étais forcé à em- d' em- d' embaucher un gars un chevalin hein un gars qui travaillait le cheval,F,F,o
oui,F,F,o
parce que j' ai pas trouvé de de gars qui travaillaient dans,V,V,['ai pas']
vous voyez ça aussi c' est chez nous c' est c' est terrible la main-d'oeuvre,F,F,o
oui,F,F,o
on trouve plus de main-d'oeuvre,V,V,['trouve plus']
les les les les gosses ne veulent plus faire ce métier -là pas plus que boulanger c' est des métiers,V,V,['ne veulent plus']
trop astreignants trop durs,F,F,o
comprenez ?,F,F,o
oui oui,F,F,o
je n' - vous savez je je suis pessimiste pour l' avenir hein pour mon métier hein je sais pas comment ça va se passer hein,V,V,['sais pas']
est -ce qu' il y a une grande différence entre le chevalin et le boucher ordinaire euh parce que ça c' est,F,F,o
des choses qu' on ne,F,F,o
comme travail ?,F,F,o
connaît peu en Angleterre,F,F,o
oui bien sûr,F,F,o
oui,F,F,o
non euh y a beaucoup plus de,F,F,o
détails si vous voulez de plus petits morceaux dans le cheval il faut,F,F,o
il faut dénerver davantage,F,F,o
euh pratiquement euh,F,F,o
à soixante pour cent soixante-cinq pour cent le cheval est vendu,F,F,o
soit en bifteck soixante-dix pour cent même,F,F,o
en bifteck ou en haché,F,F,o
comprenez ?,F,F,o
oui,F,F,o
oui,F,F,o
alors que chez nous nous avons quand même une variété nous avons quand même les pot- au-feu nous avons les braisés nous avons les ragoûts,F,F,o
euh qui ne ne sont pas prisés par le Français dans le cheval,V,V,['ne sont pas']
oui oui,F,F,o
tous ces morceaux nous de braisé de de pot au feu sont dégraissés dénervés,F,F,o
et passés en bifteck haché,F,F,o
enfin pas en bifteck,V,F,o
hum hum oui oui,F,F,o
haché en cheval haché,F,F,o
oui oui oui oui,F,F,o
puisque,F,F,o
c' est du cheval,F,F,o
si vous aviez deux heures de temps libre supplémentaires par jour,F,F,o
qu' est -ce que vous feriez de ce temps temps libre ?,F,F,o
ah la lecture je crois,F,F,o
la lecture,F,F,o
euh à votre avis qu' est -ce qu' on devrait apprendre euh aux enfants,F,F,o
euh surtout aux enfants à l' école ?,F,F,o
évidemment c' est mon avis que vous me demandez hein ?,F,F,o
bien sûr,F,F,o
bon,F,F,o
eh bien moi j' estime qu' ils ont pas assez de contact avec la vie réelle,V,V,['ont pas']
comprenez on on souffre à l' heure actuelle de regardez de plus en plus euh,F,F,o
on va vers une technocratie euh,F,F,o
euh les les les tous nos nos grosses têtes tous nos cerveaux sont enfermés dans leur tour d' ivoire n' est -ce pas,F,V,"[""n'est-ce pas""]"
et décident de choses qui n- qui arrivent à devenir euh,F,F,o
si vous voulez,F,F,o
inapplicables dans la vie courante,F,F,o
on a un exemple flagrant avec la TVA à l' heure actuelle chez nous,F,F,o
n' est -ce pas alors,F,V,"[""n'est-ce pas""]"
vous me parlez de l' enfance n' est -ce pas,F,V,"[""n'est-ce pas""]"
alors j' estime que si les gosses -là,F,F,o
vont pousser au brevet au bac ainsi de suite et puis essayer de grimper évidemment,F,F,o
n' est -ce pas,F,V,"[""n'est-ce pas""]"
mais malheureusement j' estime que le gosse n' a pas assez de contacts si vous vous voulez,V,F,o
avec la société,F,F,o
moi voilà mon avis,F,F,o
oui,F,F,o
n' est -ce pas,F,F,o
